"agent_file","path","classes","functions","imports_top","env_vars","tags","capabilities","readiness","gaps"
"competitorintelligenceia.py",".\agents\marketing\competitorintelligenceia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CompetitorIntelligenceAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"contactqualityia.py",".\agents\marketing\contactqualityia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ContactQualityAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, re, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"contentgeneratoria.py",".\agents\marketing\contentgeneratoria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ContentGeneratorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"contentperformanceia.py",".\agents\marketing\contentperformanceia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ContentPerformanceAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
"conversioncohortia.py",".\agents\marketing\conversioncohortia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ConversionCohortAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _generate_recommendations, _build_error_response, _build_validation_error_response, _build_compliance_blocked_response, health_check","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"creativeanalyzeria.py",".\agents\marketing\creativeanalyzeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CreativeAnalyzerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"customersegmentatonia.py",".\agents\marketing\customersegmentatonia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CustomerSegmentationAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _generate_recommendations, _build_error_response, _build_validation_error_response, _build_compliance_blocked_response, health_check","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Audiencias/Segmentación | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"emailautomationia.py",".\agents\marketing\emailautomationia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, EmailAutomationAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Audiencias/Segmentación | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"geosegmentationia.py",".\agents\marketing\geosegmentationia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, GeoSegmentationAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _build_error_response, _build_validation_error_response, _build_compliance_blocked_response, health_check","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Audiencias/Segmentación | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"influencermatcheria.py",".\agents\marketing\influencermatcheria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, InfluencerMatcherAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"influencermatchingia.py",".\agents\marketing\influencermatchingia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, InfluencerMatchingAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"journeyoptimizeria.py",".\agents\marketing\journeyoptimizeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, JourneyOptimizerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"leadscoria.py",".\agents\marketing\leadscoria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, LeadScorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"leadscoringia.py",".\agents\marketing\leadscoringia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, LeadScoringAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Campañas/Ads | Políticas/Compliance | Orquestación","100",""
"marketingmixmodelia.py",".\agents\marketing\marketingmixmodelia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, MarketingMixModelAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
"marketingorchestratorea.py",".\agents\marketing\marketingorchestratorea.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, MarketingOrchestratorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
"minimalformia.py",".\agents\marketing\minimalformia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, MinimalFormAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _build_error_response, _build_validation_error_response, _build_compliance_blocked_response, health_check","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"multi_industry_config.py",".\agents\marketing\multi_industry_config.py","IndustryType, IndustryParser, ContextEnricher, AgentRegistryProvider, FinancialServicesParser, FinancialServicesContextEnricher, FinancialServicesAgentRegistry, BoatRentalParser, BoatRentalContextEnricher, BoatRentalAgentRegistry, RetailParser, RetailContextEnricher, RetailAgentRegistry, IndustryConfiguration, ConfigurationRegistry, TenantConfiguration, TenantRegistry","industry_type, extract_industry_kpis, detect_audiences, enrich, get_seasonal_adjustments, get_registry, get_specialized_agents, _detect_products, _detect_compliance, _detect_risk_profile, __init__, _get_recommendations, _detect_boat_niches, _detect_experience_types, _detect_marketplaces, _detect_location, _get_weather_advisory, _detect_channels, __new__, _initialize_defaults, register, get, list_industries, list_tenants, get_industry_config, test_multi_industry","jsonabc typing dataclasses enum datetime pathlib","","Meta(FB/IG)","Campañas/Ads | Budget/Bids | Audiencias/Segmentación | Reportes/Métricas | Políticas/Compliance | Orquestación","49","No se detectó entrypoint (run/execute/handle/main) para ejecución estándar.  |  Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"personalizationengineia.py",".\agents\marketing\personalizationengineia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, PersonalizationEngineAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"predictiveleadia.py",".\agents\marketing\predictiveleadia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, PredictiveLeadAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"pricingoptimizeria.py",".\agents\marketing\pricingoptimizeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, PricingOptimizerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"productaffinityia.py",".\agents\marketing\productaffinityia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ProductAffinityAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _calculate_affinity, _build_error_response, _build_validation_error_response, _build_compliance_blocked_response, health_check","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","GoogleAds","Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","46","Google: No se ve OAuth/refresh flow (oauth/refresh_token/client_id/client_secret).  |  Google: Falta librería (google-ads/googleads) en requirements o imports."
"retentionpredictorea.py",".\agents\marketing\retentionpredictorea.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, RetentionPredictorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
"retentionpredictoria.py",".\agents\marketing\retentionpredictoria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, RetentionPredictorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","GoogleAds","Reportes/Métricas | Políticas/Compliance | Orquestación","46","Google: No se ve OAuth/refresh flow (oauth/refresh_token/client_id/client_secret).  |  Google: Falta librería (google-ads/googleads) en requirements o imports."
"sentimentanalyzeria.py",".\agents\marketing\sentimentanalyzeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, SentimentAnalyzerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"sociallisteningia.py",".\agents\marketing\sociallisteningia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, SocialListeningAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Meta(FB/IG)","Reportes/Métricas | Políticas/Compliance | Orquestación","61","Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"socialpostgeneratoria.py",".\agents\marketing\socialpostgeneratoria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, SocialPostGeneratorAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
